,年月日,平均気温(℃),POSIX,year,month,dayofweek,1dayago,2dayago,3dayago,4dayago,5dayago,6dayago,7dayago
0,2000-01-01,5.3,946684800,2000,1,5,,,,,,,
1,2000-01-02,4.5,946771200,2000,1,6,5.3,,,,,,
2,2000-01-03,7.1,946857600,2000,1,0,4.5,5.3,,,,,
3,2000-01-04,5.2,946944000,2000,1,1,7.1,4.5,5.3,,,,
4,2000-01-05,5.9,947030400,2000,1,2,5.2,7.1,4.5,5.3,,,
5,2000-01-06,12.2,947116800,2000,1,3,5.9,5.2,7.1,4.5,5.3,,
6,2000-01-07,8.8,947203200,2000,1,4,12.2,5.9,5.2,7.1,4.5,5.3,
7,2000-01-08,4.0,947289600,2000,1,5,8.8,12.2,5.9,5.2,7.1,4.5,5.3
8,2000-01-09,4.3,947376000,2000,1,6,4.0,8.8,12.2,5.9,5.2,7.1,4.5
9,2000-01-10,7.6,947462400,2000,1,0,4.3,4.0,8.8,12.2,5.9,5.2,7.1
10,2000-01-11,4.7,947548800,2000,1,1,7.6,4.3,4.0,8.8,12.2,5.9,5.2
11,2000-01-12,6.4,947635200,2000,1,2,4.7,7.6,4.3,4.0,8.8,12.2,5.9
12,2000-01-13,10.7,947721600,2000,1,3,6.4,4.7,7.6,4.3,4.0,8.8,12.2
13,2000-01-14,8.7,947808000,2000,1,4,10.7,6.4,4.7,7.6,4.3,4.0,8.8
14,2000-01-15,5.5,947894400,2000,1,5,8.7,10.7,6.4,4.7,7.6,4.3,4.0
15,2000-01-16,3.9,947980800,2000,1,6,5.5,8.7,10.7,6.4,4.7,7.6,4.3
16,2000-01-17,6.9,948067200,2000,1,0,3.9,5.5,8.7,10.7,6.4,4.7,7.6
17,2000-01-18,4.2,948153600,2000,1,1,6.9,3.9,5.5,8.7,10.7,6.4,4.7
18,2000-01-19,4.5,948240000,2000,1,2,4.2,6.9,3.9,5.5,8.7,10.7,6.4
19,2000-01-20,2.4,948326400,2000,1,3,4.5,4.2,6.9,3.9,5.5,8.7,10.7
20,2000-01-21,0.5,948412800,2000,1,4,2.4,4.5,4.2,6.9,3.9,5.5,8.7
21,2000-01-22,1.5,948499200,2000,1,5,0.5,2.4,4.5,4.2,6.9,3.9,5.5
22,2000-01-23,3.2,948585600,2000,1,6,1.5,0.5,2.4,4.5,4.2,6.9,3.9
23,2000-01-24,7.1,948672000,2000,1,0,3.2,1.5,0.5,2.4,4.5,4.2,6.9
24,2000-01-25,3.7,948758400,2000,1,1,7.1,3.2,1.5,0.5,2.4,4.5,4.2
25,2000-01-26,1.6,948844800,2000,1,2,3.7,7.1,3.2,1.5,0.5,2.4,4.5
26,2000-01-27,-0.2,948931200,2000,1,3,1.6,3.7,7.1,3.2,1.5,0.5,2.4
27,2000-01-28,1.3,949017600,2000,1,4,-0.2,1.6,3.7,7.1,3.2,1.5,0.5
28,2000-01-29,2.8,949104000,2000,1,5,1.3,-0.2,1.6,3.7,7.1,3.2,1.5
29,2000-01-30,3.4,949190400,2000,1,6,2.8,1.3,-0.2,1.6,3.7,7.1,3.2
30,2000-01-31,2.8,949276800,2000,1,0,3.4,2.8,1.3,-0.2,1.6,3.7,7.1
31,2000-02-01,1.8,949363200,2000,2,1,2.8,3.4,2.8,1.3,-0.2,1.6,3.7
